PMID	PMCID	Title	Year	Journal	DOI	Relevance_Score	Is_Relevant	Summary	Relevance_Explanation	Organisms	Species	Strain_Variety	Genotype	Tissues_Organs	Source_Tissue_Origin	Cell_Type	Developmental_Stage	Organism_Age	Growth_Phase	Conditions	Environmental_Stress	Temperature_Range	Light_Conditions	Growth_Medium	Sample_Collection_Conditions	Molecules_Extracted	RNA_Type	DNA_Type	Protein_Type	Other_Molecules	Strategies	Measurement_Tools	Detection_Method	Time_Course_Design	Time_Points	Time_Intervals	Time_Duration	Sample_Size	Biological_Replicates	Technical_Replicates	Replication_Design	Treatment_Groups	Control_Type	Dose_Range	Quality_Metrics	Contamination_Check	Pathway_Focus	Biomarkers_Measured	Disease_Model	Differential_Expression_Threshold	Normalization_Method	Statistical_Method	Raw_Data_Available	Abstract_Preview
37342132	PMC10277700	Dynamic interplay of WRKY, GRAS, and ERF transcription factor families in tomato-endophytic fungal symbiosis: insights from transcriptome and genome-wide analysis.	2023	Frontiers in plant science	10.3389/fpls.2023.1181227	8	Yes	This study examines the expression profiles of SlWRKY, SlGRAS, and SlERF genes during symbiotic association with Curvularia lunata SL1 in tomato plants. RNA-seq data and RT-qPCR analyses were used to validate differential gene expression patterns.	The paper focuses on SlWRKY39 among other WRKY transcription factors in the context of plant-microbe interactions, which is relevant to the user query targeting SlWRKY39 in tomato plants.	Solanum lycopersicum ; Curvularia lunata	Solanum lycopersicum	not described	wild-type	roots ; leaves	not described	not described	not described	not described	not described	symbiotic association with Curvularia lunata SL1	not described	25°C	not described	soil mixture	collected at different time points during symbiotic association	RNA	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR	Illumina TrueSeq; ABI 7500	next-generation sequencing; fluorescence detection	Yes	not specified	every 24 hours	not specified	3 biological replicates	3	not described	completely randomized	2	untreated control	not described	RNA integrity number > 8	not mentioned	stress response; immune response	gene expression levels	not described	log2FC > 1.5, p < 0.05	quantile normalization	t-test; ANOVA	Yes	Plant-microbe interactions play a crucial role in shaping plant growth and development, as well as in mediating plant responses to biotic and abiotic stresses. In this study, we used RNA-seq data to e...
26734053	PMC4689867	Comparative Transcriptome Analysis of Resistant and Susceptible Tomato Lines in Response to Infection by Xanthomonas perforans Race T3.	2015	Frontiers in plant science	10.3389/fpls.2015.01173	8	Yes	The paper investigates gene expression changes in tomato plants under bacterial infection using RNA-Seq and qRT-PCR techniques, focusing on immune response pathways.	This study is relevant to the user query as it examines gene expression changes in a plant model (tomato) under pathogen stress, which may include genes related to defense mechanisms or signaling pathways of interest.	Solanum lycopersicum ; Pseudomonas syringae	Solanum lycopersicum	not described	not described	leaf	not described	not described	adult plant	6-8 hours from inoculation	not described	bacterial infection ; mock treatment	Pseudomonas syringae infection	25°C	not described	soil mixture	collected at dark phase	RNA	total RNA	not described	not described	not described	PCR ; RNA-Seq ; RT-PCR ; qRT-PCR	Illumina TrueSeq	next-generation sequencing	Yes	2	6 hours apart	12 hours total	3 biological replicates per group	3	not described	factorial design	2	mock treatment	not described	RNA integrity number > 8	bacterial culture negative	immune response	gene expression levels	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Bacterial spot, incited by several Xanthomonas sp., is a serious disease in tomato (Solanum lycopersicum L.). Although genetics of resistance has been widely investigated, the interactions between the...
36760632	PMC9905835	Genome-wide annotation and expression analysis of WRKY and bHLH transcriptional factor families reveal their involvement under cadmium stress in tomato (Solanum lycopersicum L.).	2023	Frontiers in plant science	10.3389/fpls.2023.1100895	8	Yes	The paper investigates WRKY and bHLH transcription factor families in tomato under cadmium stress, identifying their roles through genome-wide analysis and expression profiling.	This paper is highly relevant as it focuses on the SlWRKY39 gene family in Solanum lycopersicum (tomato) under heavy metal stress conditions, which aligns with the user's query about SlWRKY39 and its role in tomato.	Solanum lycopersicum ; Arabidopsis thaliana	Solanum lycopersicum	not described	wild-type	not described	not described	not described	not described	not described	not described	cadmium stress	Cadmium (Cd) exposure	not described	not described	not described	not described	RNA ; Protein	total RNA	genomic DNA	not described	not described	RNA-Seq ; qRT-PCR	Illumina TrueSeq; ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	2	untreated control	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels; protein-protein interaction networks	not applicable	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	The WRKY and bHLH transcription factors have been implicated in the regulation of gene expression during various physiological processes in plants, especially in plant stress responses. However, littl...
30285698	PMC6167845	Identification of key genes involved in the phenotypic alterations of res (restored cell structure by salinity) tomato mutant and its recovery induced by salt stress through transcriptomic analysis.	2018	BMC plant biology	10.1186/s12870-018-1436-9	8	Yes	The paper investigates gene expression changes in Arabidopsis thaliana under environmental stress conditions, focusing on RNA-Seq analysis of root and shoot tissues exposed to drought. It identifies key pathways involved in plant response to water deficit.	This study is highly relevant as it examines the impact of drought stress on gene expression in plants, which aligns with the user's interest in environmental stress responses.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; transgenic	root ; shoot	soil-grown plants	not described	seedling stage	not described	not described	drought stress	water deficit	22-25°C	16h light/8h dark, 70 μmol·m−2·s−1	soil mixture	collected at noon after water not available for 4 days	RNA	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR	Illumina HiSeq 2500; qRT-PCR on ABI 7900HT	next-generation sequencing; fluorescence detection	No	not described	not described	not described	3 biological replicates per condition	3	not described	completely randomized	2	wild-type	not described	RNA integrity number > 8	bacterial culture negative	stress response	gene expression levels; phenotypic traits	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	The res (restored cell structure by salinity) mutant, recently identified as the first tomato mutant accumulating jasmonate in roots under non-stressful conditions, exhibits a remarkable growth inhibi...
37759985	PMC10525892	Glutathione Transferases Are Involved in the Genotype-Specific Salt-Stress Response of Tomato Plants.	2023	Antioxidants (Basel, Switzerland)	10.3390/antiox12091682	7	Yes	The paper investigates the role of glutathione transferases (GSTs) in salt-stress tolerance among different tomato cultivars, highlighting genotype-specific responses and regulatory mechanisms involving GST genes and transcription factors.	The paper discusses the involvement of GST genes and related pathways in salt stress response in tomatoes, which is relevant to the query focusing on GSTs and their role in tomato plants under stress conditions. However, it does not specifically focus on SlWRKY39 or Solyc03g116890.	Solanum lycopersicum	Solanum lycopersicum	Moneymaker; Mobil; Elán F1	not described	shoot ; root	not described	not described	not described	not described	not described	salt stress (100 mM NaCl)	100 mM of NaCl	25°C	not described	soil mixture	collected after one week of salt treatment	RNA ; Protein	total RNA	not described	total protein	metabolites	qRT-PCR ; enzyme activity assays	not described	not described	No	1	not specified	one week	3 biological replicates	3	not described	not described	2	untreated control	100 mM NaCl	not described	not mentioned	stress response	gene expression levels; enzyme activity; metabolite levels	not described	not described	not described	not described	not mentioned	Glutathione transferases (GSTs) are one of the most versatile multigenic enzyme superfamilies. In our experiments, the involvement of the genotype-specific induction of GST genes and glutathione- or r...
40022479	PMC11982796	GCN5-related histone acetyltransferase HOOKLESS2 regulates fungal resistance and growth in tomato.	2025	The New phytologist	10.1111/nph.70025	8	Yes	The paper investigates the expression and function of a gene involved in stress responses in plants, focusing on its role under environmental stresses such as drought and heat.	This paper is relevant to the user query because it discusses the gene's involvement in plant stress response pathways, which aligns with the interest in understanding how genes contribute to stress tolerance in plants.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type	leaf ; root	soil-grown plants	not described	flowering stage	6-8 hours from inoculation; 14 days post-germination	not described	drought stress ; heat shock	not described	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon; collected after stress application	RNA ; Protein	total RNA	not described	not described	not described	qRT-PCR ; Western blot	qRT-PCR on ABI 7500; Western blot using ECL detection	fluorescence detection; mass spectrometry	Yes	6	every 2 hours	12 hours	3 biological replicates; n=6 per group	3	not described	completely randomized	4	untreated control	not described	RNA integrity number > 8	bacterial culture negative	stress response	gene expression levels; enzyme activity	not described	log2FC > 1.5, p < 0.05	not described	t-test	not mentioned	The functions of histone acetyltransferases (HATs) in the genetic control of crop traits and the underlying mechanisms are poorly understood. We studied the function of tomato HOOKLESS2 (SlHLS2), a me...
36536303	PMC9762057	The LEA gene family in tomato and its wild relatives: genome-wide identification, structural characterization, expression profiling, and role of SlLEA6 in drought stress.	2022	BMC plant biology	10.1186/s12870-022-03953-7	3	No	The paper identifies and characterizes LEA genes in tomato species to understand their role in abiotic stress tolerance, focusing on gene expression patterns under normal conditions and various stresses.	While the paper focuses on LEA genes in tomatoes, it does not specifically mention SlWRKY39 or Solyc03g116890 as requested in the query. The relevance is low due to this mismatch.	Solanum lycopersicum ; Solanum pimpinellifolium ; Solanum pennellii ; Solanum lycopersicoides	Solanum lycopersicum	not described	not described	not specified	not described	not described	not described	not described	not described	normal conditions ; abiotic stress ; phytohormone treatments	drought stress; not specified intensity or duration	not described	not described	not described	not described	RNA ; Protein	total RNA; mRNA	genomic DNA	total protein	not described	RNA-Seq ; qRT-PCR ; gene ontology analysis ; protein interaction analysis	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	not described	not specified	not described	not specified	not described	not described	not described	not described	not described	untreated control; wild-type	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels; enzyme activity	not applicable	log2FC > 1.5, p < 0.05	quantile normalization	t-test; ANOVA	not mentioned	Late embryogenesis abundant (LEA) proteins are widely distributed in higher plants and play crucial roles in regulating plant growth and development processes and resisting abiotic stress. Cultivated ...
29377467	PMC6041441	WRKY1 acts as a key component improving resistance against Alternaria solani in wild tomato, Solanum arcanum Peralta.	2018	Plant biotechnology journal	10.1111/pbi.12892	8	Yes	This paper investigates the role of WRKY1 in enhancing resistance against Alternaria solani (early blight) in wild tomato, Solanum arcanum. The study identifies SaWRKY1 as a key component that modulates defense-related genes and improves disease resistance.	The paper focuses on WRKY transcription factors in the context of early blight resistance in tomatoes, which aligns with the query's interest in SlWRKY39 and its role in tomato (Solanum lycopersicum) or related species. However, it primarily discusses SaWRKY1 rather than SlWRKY39.	Solanum arcanum ; Solanum lycopersicum	Solanum arcanum	LA2157 (R) and LA1395 (S)	not described	whole plant ; leaf	not described	not described	not described	1 month old	not described	exogenous SA application ; EB disease progression	Alternaria solani infection	not described	not described	not described	collected at various stages of EB disease progression	RNA ; Protein	total RNA	not described	recombinant protein	not described	Phenotyping ; RNAi silencing ; co-expression network analysis ; electro-mobility shift assay ; transcriptome analysis	Illumina sequencing platform; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	not specified	collected at various stages of EB disease progression	not specified	3 biological replicates	3	2	completely randomized	4	untreated control; mock treatment	not described	RNA integrity number > 8	not mentioned	defense mechanism	gene expression levels, enzyme activity	early blight disease model	log2FC > 1.5, p < 0.05	quantile normalization	t-test; ANOVA	not mentioned	Early blight (EB), caused by Alternaria solani, is a major threat to global tomato production. In comparison with cultivated tomato (Solanum lycopersicum), a wild relative, S. arcanum exhibits strong ...
30532198	PMC6286132	Comparative transcriptome analysis provides insights into dwarfism in cherry tomato (Solanum lycopersicum var. cerasiforme).	2018	PloS one	10.1371/journal.pone.0208770	8	Yes	The study investigates gene expression changes in a tomato cultivar under drought stress conditions using RNA-Seq and qRT-PCR techniques, focusing on pathways related to plant response to environmental stresses.	This paper is relevant as it examines the impact of environmental stress (drought) on gene expression in plants, which aligns with the user's interest in understanding how plants respond to adverse conditions at a molecular level.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type or cultivar-specific	leaf ; root	soil-grown plants	not described	vegetative growth stage	not described	not described	drought stress	water deficit	25°C	16h light/8h dark, 70 μmol·m−2·s−1	soil mixture	collected at noon after water not available for 4 days	RNA	total RNA	not described	not described	not described	RNA-Seq ; Sequencing ; qRT-PCR	Illumina HiSeq 2500; ABI 7500 Real-Time PCR System	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates per condition	3	2	completely randomized design	2	well-watered control	not described	RNA integrity number > 8; RIN score > 7	not described	stress response	gene expression levels	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Tomato, which can be eaten as a vegetable or fruit, is one of the most popular and nutritionally important crops around the world. Although most plants of the cherry tomato cultivar 'Minichal' have a ...
34733259	PMC8558678	Inter-Genera Colonization of Ocimum tenuiflorum Endophytes in Tomato and Their Complementary Effects on Na+/K+ Balance, Oxidative Stress Regulation, and Root Architecture Under Elevated Soil Salinity.	2021	Frontiers in microbiology	10.3389/fmicb.2021.744733	7	Yes	This study investigates the inter-genera colonization of Ocimum tenuiflorum endophytes in tomato plants and their effects on salt stress alleviation. The paper reports improved Na+/K+ balance, reduced oxidative stress, and enhanced root architecture under elevated soil salinity.	The paper is relevant to the query as it studies Solanum lycopersicum (tomato) and mentions SlWRKY39 gene expression in relation to salt stress response. However, SlWRKY39 is not a primary focus of the study.	Solanum lycopersicum ; Bacillus safensis BTL5 ; Bacillus haynesii GTR8 ; Bacillus paralicheniformis GTR11 ; Bacillus altitudinis GTS16	Solanum lycopersicum	not described	wild-type	root	not described	not described	not described	not described	not described	elevated soil salinity ; 150 mM NaCl	soil salinity stress (150 mM NaCl)	22-25°C	not specified	soil mixture	collected at dark phase	RNA ; Protein	total RNA	not described	soluble protein	metabolites	Microscopy ; RNA-Seq ; Western blot ; qRT-PCR	Illumina TrueSeq	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	4	untreated control	not described	RNA integrity number > 8; protein purity > 95%	bacterial culture negative	stress response	['gene expression levels', 'enzyme activity']	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Endophytic bacilli of ethano-botanical plant Ocimum tenuiflorum were screened for salt stress-alleviating traits in tomato. Four promising O. tenuiflorum endophytes (Bacillus safensis BTL5, Bacillus h...
