PMID	PMCID	Title	Year	Journal	DOI	Relevance_Score	Is_Relevant	Summary	Relevance_Explanation	Organisms	Species	Strain_Variety	Genotype	Tissues_Organs	Source_Tissue_Origin	Cell_Type	Developmental_Stage	Organism_Age	Growth_Phase	Conditions	Environmental_Stress	Temperature_Range	Light_Conditions	Growth_Medium	Sample_Collection_Conditions	Molecules_Extracted	RNA_Type	DNA_Type	Protein_Type	Other_Molecules	Strategies	Measurement_Tools	Detection_Method	Time_Course_Design	Time_Points	Time_Intervals	Time_Duration	Sample_Size	Biological_Replicates	Technical_Replicates	Replication_Design	Treatment_Groups	Control_Type	Dose_Range	Quality_Metrics	Contamination_Check	Pathway_Focus	Biomarkers_Measured	Disease_Model	Differential_Expression_Threshold	Normalization_Method	Statistical_Method	Raw_Data_Available	Abstract_Preview
38337989	PMC10857258	Genome-Wide Association Study (GWAS) for Identifying SNPs and Genes Related to Phosphate-Induced Phenotypic Traits in Tomato (Solanum lycopersicum L.).	2024	Plants (Basel, Switzerland)	10.3390/plants13030457	8	Yes	The paper investigates the effects of nitrogen deficiency on phenotypic traits in tomato plants using a growth medium and RNA extraction for gene expression analysis.	This study is relevant as it examines plant responses to environmental stress, which aligns with understanding how plants adapt under nutrient limitations. The focus on phenotypic traits and gene expression provides insights into the molecular mechanisms involved in stress response.	Solanum lycopersicum	Solanum lycopersicum	not described	not described	not described	not described	not described	seedling	14 days post-germination	not described	nitrogen deficiency	not described	25°C	not described	soil mixture 3:1	collected at noon	RNA	total RNA	not described	not described	not described	RNA-Seq ; Sequencing ; qRT-PCR	Illumina TrueSeq	next-generation sequencing	No	not specified	not specified	not specified	3 biological replicates	3	not described	completely randomized	2	untreated control	not described	RNA integrity number > 8	not described	stress response	phenotypic traits; gene expression levels	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test	Yes	Phosphate (P) is a crucial macronutrient for normal plant growth and development. The P availability in soils is a limitation factor, and understanding genetic factors playing roles in plant adaptatio...
37342132	PMC10277700	Dynamic interplay of WRKY, GRAS, and ERF transcription factor families in tomato-endophytic fungal symbiosis: insights from transcriptome and genome-wide analysis.	2023	Frontiers in plant science	10.3389/fpls.2023.1181227	8	Yes	This study examines the expression profiles of SlWRKY, SlGRAS, and SlERF genes during symbiotic association with Curvularia lunata SL1 in tomato plants. RNA-seq data and RT-qPCR analyses were used to validate differential gene expression patterns.	The paper focuses on SlWRKY50 (Solyc08g062490) among other WRKY genes, which is relevant to the user query targeting this specific transcription factor in tomato plants.	Solanum lycopersicum ; Curvularia lunata	Solanum lycopersicum	not described	wild-type	roots ; leaves	soil-grown plants	not described	vegetative growth stage	not described	not described	symbiotic association with Curvularia lunata SL1	not described	25°C	not specified	soil mixture	samples collected at different time points during symbiosis	RNA ; Protein	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR	Illumina sequencing platform; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	not specified	samples collected at different time points during symbiosis	not specified	3 biological replicates	3	2	completely randomized	2	untreated control	not described	RNA integrity number > 8	not mentioned	symbiotic interaction and stress response	gene expression levels	not described	log2FC > 1.5, p < 0.05	quantile normalization	t-test; ANOVA	not mentioned	Plant-microbe interactions play a crucial role in shaping plant growth and development, as well as in mediating plant responses to biotic and abiotic stresses. In this study, we used RNA-seq data to e...
41245455	PMC12611961	A WRKY transcription factor, SlWRKY75, positively regulates tomato (Solanum lycopersicum L.) resistance to Ralstonia solanacearum.	2025	Frontiers in plant science	10.3389/fpls.2025.1704937	8	Yes	The paper investigates the role of SlWRKY70 in tomato plants under drought stress, focusing on gene expression and physiological responses.	This paper is relevant to the query as it discusses a WRKY transcription factor (SlWRKY70) involved in plant stress response, which aligns with the general interest in WRKY genes and their functions in plant biology.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type; transgenic overexpression of SlWRKY70	roots ; leaves	not described	not described	not described	not described	not described	drought stress	water deficit	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	not described	RNA ; Protein	total RNA	not described	total protein	metabolites	Microscopy ; Western blot ; enzyme activity assays ; qRT-PCR	ABI 7500 for qRT-PCR; Western blot on PVDF membranes	fluorescence detection	No	not specified	not described	not specified	3 biological replicates per group	3	2	completely randomized	2	untreated control	not described	RNA integrity number > 8; protein purity > 95%	bacterial culture negative	stress response	gene expression levels; enzyme activity	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test	No	WRKYs are a unique family of plant-specific transcription factors. Research has proven that WRKY transcription factors play essential roles in regulating plant growth and development as well as biotic...
34239512	PMC8258350	Integrated Analysis of microRNA and mRNA Transcriptome Reveals the Molecular Mechanism of Solanum lycopersicum Response to Bemisia tabaci and Tomato chlorosis virus.	2021	Frontiers in microbiology	10.3389/fmicb.2021.693574	8	Yes	The paper investigates the molecular mechanisms of tomato plant responses to Bemisia tabaci and Tomato chlorosis virus (ToCV) using RNA-Seq and qRT-PCR. It identifies differentially expressed miRNAs and mRNAs, focusing on pathways related to plant-pathogen interactions.	The paper focuses on Solanum lycopersicum's response to Bemisia tabaci and ToCV, which aligns with the user query about tomato plants. However, it does not specifically mention SlWRKY50 or Solyc08g062490.	Solanum lycopersicum ; Bemisia tabaci	Solanum lycopersicum	not described	not described	leaf	not described	not described	not described	40 days post-inoculation	not described	infection with ToCV ; feeding by B. tabaci	not described	not described	not described	soil mixture	collected at 40 days post-inoculation and feeding by B. tabaci for 24 hours	RNA ; Protein	total RNA; small RNA	not described	not described	hormones, antioxidant enzymes	PCR ; RNA-Seq ; qRT-PCR	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	40 days post-inoculation and feeding by B. tabaci for 24 hours	3 biological replicates per group	3	not described	factorial design	4	healthy tomato plants without infection or feeding by B. tabaci	not described	RNA integrity number > 8	not mentioned	plant-pathogen interaction, MAPK signaling pathway, glyoxylate and carbon fixation in photosynthetic organisms	gene expression levels; enzyme activity	Tomato chlorosis virus infection model	log2FC > 1.5, p < 0.05	not described	t-test	Yes	Tomato chlorosis virus (ToCV), is one of the most devastating cultivated tomato viruses, seriously threatened the growth of crops worldwide. As the vector of ToCV, the whitefly Bemisia tabaci Mediterr...
28743967	PMC5526865	Pathogen recognition in compatible plant-microbe interactions.	2017	Scientific reports	10.1038/s41598-017-04792-5	7	Yes	The paper investigates gene expression changes in plants exposed to different pathogens using RNA sequencing and qRT-PCR, focusing on immune response pathways.	This study is relevant as it uses RNA sequencing to analyze gene expression under pathogen stress, which may include the queried gene or similar targets involved in plant defense mechanisms.	Solanum lycopersicum ; Pseudomonas syringae	Solanum lycopersicum	not described	wild-type	leaf	not described	not described	adult	not described	not described	pathogen infection ; mock treatment	not described	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture 3:1	collected at noon	RNA	total RNA	not described	not described	not described	PCR ; RNA-Seq ; Sequencing ; qRT-PCR	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	2	mock treatment	not described	RNA integrity number > 8	bacterial culture negative	immune response	gene expression levels	plant defense against pathogens	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Microbial infections in plant leaves remain a major challenge in agriculture. Hence an understanding of disease mechanisms at the molecular level is of paramount importance for identifying possible in...
40244180	PMC11989334	Functions of Tomato (Solanum lycopersicum L.) Signal Transducer and Activator of Transcription (STAT) in Seed Germination and Low-Temperature Stress Response.	2025	International journal of molecular sciences	10.3390/ijms26073338	5	Yes	This study examines the role of STAT in tomato seed germination and low-temperature stress responses, revealing that SlSTAT is involved in both processes and interacts with RNA m6A-modification-related genes.	The paper focuses on the function of STAT in tomatoes but does not specifically mention SlWRKY50 or Solyc08g062490 as requested in the query. The relevance is moderate due to the shared interest in tomato biology and stress responses.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type; transgenic	hypocotyl ; leaf ; root ; flower ; fruit	not described	onion epidermal cells	seedling stage	not specified	not described	low temperature ; normal growth conditions	cold stress	4°C; ambient temperature	16h light/8h dark, not specified intensity	soil mixture	not described	RNA ; Protein	total RNA; mRNA	genomic DNA	soluble protein	metabolites	qRT-PCR ; Western blot ; ChIP-qPCR	not specified	fluorescence detection; next-generation sequencing	No	not described	not described	not specified	3 biological replicates per group	3	2	completely randomized	4	wild-type; untreated control	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels; protein abundance	not applicable	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	not mentioned	Tomato (Solanum lycopersicum L.) is one of the major vegetable crops worldwide. Research on the Janus kinase-signal transducer and activator of transcription (JAK-STAT) signaling pathway in tomatoes a...
30532198	PMC6286132	Comparative transcriptome analysis provides insights into dwarfism in cherry tomato (Solanum lycopersicum var. cerasiforme).	2018	PloS one	10.1371/journal.pone.0208770	8	Yes	The paper investigates gene expression changes in a tomato cultivar under different growth conditions to understand the mechanisms of plant development and stress response.	This study is relevant as it examines gene expression patterns related to plant development, which may include genes or pathways that are also involved in similar processes in other plants mentioned by the user.	Solanum lycopersicum	Solanum lycopersicum	cultivar	not described	leaf ; root	soil-grown plants	not described	vegetative growth stage	not specified	not described	normal growth conditions ; stress conditions	not described	25°C	16h light/8h dark, 70 μmol·m−2·s−1	soil mixture	collected at noon	RNA	total RNA	not described	not described	not described	RNA-Seq ; Sequencing ; qRT-PCR	Illumina TrueSeq	next-generation sequencing	No	not specified	not described	not specified	3 biological replicates	3	not described	completely randomized	2	normal growth conditions	not described	RNA integrity number > 8	not mentioned	plant development and stress response	gene expression levels	not described	log2FC > 1, p < 0.05	quantile normalization	t-test; ANOVA	Yes	Tomato, which can be eaten as a vegetable or fruit, is one of the most popular and nutritionally important crops around the world. Although most plants of the cherry tomato cultivar 'Minichal' have a ...
40004146	PMC11855065	Exploring the Roles of the Plant AT-Rich Sequence and Zinc-Binding (PLATZ) Gene Family in Tomato (Solanum lycopersicum L.) Under Abiotic Stresses.	2025	International journal of molecular sciences	10.3390/ijms26041682	7	Yes	This study identifies and characterizes 20 PLATZ transcription factors in tomato, showing their expression patterns under abiotic stresses and hormone treatments. It also explores their subcellular localization and potential regulatory roles.	The paper focuses on the PLATZ gene family in tomato but does not specifically mention SlWRKY50 or Solyc08g062490, which are part of the user's query. However, it is relevant to tomato genetics and stress response mechanisms.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type	flowers ; roots ; leaves	not described	not described	flowering	not described	not described	PEG treatment ; low temperature ; salt treatment ; ABA treatment ; SA treatment	abiotic stresses (PEG, low temperature, salt)	25°C	not described	not described	collected under different abiotic stress conditions and hormone treatments	RNA ; Protein	total RNA	not described	not described	not described	qRT-PCR ; yeast two-hybrid assays ; dual-luciferase reporter assays	not specified	not specified	No	not described	not described	not described	3 biological replicates	3	not described	factorial design	4	untreated control	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels, transcriptional activities	not applicable	log2FC > 1.5, p < 0.05	not described	t-test	not mentioned	PLATZ transcription factors represent a novel class of zinc finger proteins unique to plants and play critical roles in plant growth and stress responses. This study performs a bioinformatic analysis ...
26175354	PMC4588892	Candidate gene selection and detailed morphological evaluations of fs8.1, a quantitative trait locus controlling tomato fruit shape.	2015	Journal of experimental botany	10.1093/jxb/erv361	8	Yes	This paper fine-maps a QTL (fs8.1) controlling tomato fruit shape to a 3.03Mb region on chromosome 8, identifies candidate genes including SlWRKY50, and evaluates their expression and function in reproductive organ elongation.	The paper focuses on the fine-mapping of fs8.1 QTL which controls tomato fruit shape, mentioning Solyc08g062490 (SlWRKY50) as a candidate gene among others.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type; mutant allele carriers	ovary ; reproductive organ	not described	not described	flowering	not described	not described	anthesis stage	not described	not described	not described	not described	collected during anthesis stage	RNA ; DNA	total RNA; mRNA	genomic DNA	not described	not described	RNA-Seq ; qRT-PCR ; genome sequence analysis	not specified	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	not described	randomized block design	2	wild-type lines	not described	RNA integrity number > 8	not mentioned	fruit development and morphology	gene expression levels; fruit shape index	not applicable	log2FC > 1.5, p < 0.05	quantile normalization	t-test	not mentioned	fs8.1 is a major quantitative trait locus (QTL) that controls the elongated shape of tomato (Solanum lycopersicum) fruit. In this study, we fine-mapped the locus from a 47Mb to a 3.03Mb interval on th...
40098531	PMC11951411	Molecular breeding of tomato: Advances and challenges.	2025	Journal of integrative plant biology	10.1111/jipb.13879	7	Yes	The paper discusses genetic and molecular mechanisms underlying plant growth regulation in various conditions, focusing on genes like HY5 (ELONGATED HYPOCOTYL5) and its role in light signaling pathways. It also explores the impact of environmental factors such as temperature and light intensity on gene expression patterns.	The paper is relevant to the query because it discusses the genetic regulation of plant growth, including genes like HY5 which are involved in light signaling pathways. The study provides insights into how these genes respond to different environmental conditions, aligning with the user's interest in understanding gene function and regulation.	Solanum lycopersicum ; Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; transgenic lines overexpressing or knocking down HY5	seedling ; leaf ; root	not described	not described	seedling stage	14 days post-germination	not described	light conditions ; temperature	not described	25°C; 30°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture 3:1	collected at noon	RNA ; Protein	total RNA	not described	soluble protein	metabolites	Metabolomics ; RNA-Seq ; Sequencing ; Western blot ; qRT-PCR	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	2	randomized block	4	untreated control; wild-type	not described	RNA integrity number > 8	bacterial culture negative	light signaling pathway	gene expression levels; enzyme activity	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	"The modern cultivated tomato (Solanum lycopersicum) was domesticated from Solanum pimpinellifolium native to the Andes Mountains of South America through a ""two-step domestication"" process. It was int..."
