PMID	PMCID	Title	Year	Journal	DOI	Relevance_Score	Is_Relevant	Summary	Relevance_Explanation	Organisms	Species	Strain_Variety	Genotype	Tissues_Organs	Source_Tissue_Origin	Cell_Type	Developmental_Stage	Organism_Age	Growth_Phase	Conditions	Environmental_Stress	Temperature_Range	Light_Conditions	Growth_Medium	Sample_Collection_Conditions	Molecules_Extracted	RNA_Type	DNA_Type	Protein_Type	Other_Molecules	Strategies	Measurement_Tools	Detection_Method	Time_Course_Design	Time_Points	Time_Intervals	Time_Duration	Sample_Size	Biological_Replicates	Technical_Replicates	Replication_Design	Treatment_Groups	Control_Type	Dose_Range	Quality_Metrics	Contamination_Check	Pathway_Focus	Biomarkers_Measured	Disease_Model	Differential_Expression_Threshold	Normalization_Method	Statistical_Method	Raw_Data_Available	Abstract_Preview
37206055	PMC10189802	SlWRKY30 and SlWRKY81 synergistically modulate tomato immunity to Ralstonia solanacearum by directly regulating SlPR-STH2.	2023	Horticulture research	10.1093/hr/uhad050	8	Yes	The paper investigates the role of SlWRKY30 and SlWRKY81 in tomato resistance to Ralstonia solanacearum infection. It shows that these transcription factors positively regulate resistance by upregulating pathogenesis-related protein genes.	This paper is highly relevant as it discusses SlWRKY30, which is closely related to the queried gene SlWRKY52 (both are group III WRKY TFs involved in tomato immunity).	Solanum lycopersicum ; Ralstonia solanacearum	Solanum lycopersicum	not described	not described	stem ; leaf ; root	not described	not described	not described	not described	not described	Ralstonia solanacearum infection ; exogenous salicylic acid application	not described	not described	not described	not described	collected at different time points post-inoculation and under normal conditions	RNA	total RNA	not described	not described	not described	PCR ; RNA sequencing ; RT-qPCR ; qRT-PCR	ABI 7500 for qRT-PCR; Illumina TrueSeq for RNA sequencing	next-generation sequencing and fluorescence detection	Yes	6	every 12 hours post-inoculation	not specified	3 biological replicates	3	not described	not described	2	untreated control	not described	RNA integrity number > 8	not mentioned	immune response	gene expression levels	Ralstonia solanacearum infection in tomato	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test, ANOVA	not mentioned	Bacterial wilt is a devastating disease of tomato (Solanum lycopersicum) caused by Ralstonia solanacearum that severely threatens tomato production. Group III WRKY transcription factors (TFs) are impl...
39578554	PMC11584733	Integrating gene expression analysis and ecophysiological responses to water deficit in leaves of tomato plants.	2024	Scientific reports	10.1038/s41598-024-80261-0	8	Yes	The paper investigates the gene expression changes in tomato plants under drought stress conditions over a period of days, focusing on the identification of key genes and pathways involved in plant response to water deficit.	The study focuses on gene expression analysis during drought stress, which is relevant to understanding the molecular mechanisms of stress response. Although it does not specifically mention the queried gene (SlDREB1), it provides insights into similar processes under abiotic stress conditions.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type	leaf ; root	soil-grown plants	not described	vegetative growth stage	4 weeks old	not described	drought stress	50% soil water deficit	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon	RNA	total RNA	not described	not described	not described	RNA-Seq ; Sequencing ; qRT-PCR	Illumina HiSeq 2500	next-generation sequencing	Yes	4	every 3 days	12 days	6 biological replicates per time point	3	not described	completely randomized	2	well-watered control	not described	RNA integrity number > 8	not described	stress response	gene expression levels	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Soil water deficit (WD) significantly impacts plant survival and crop yields. Many gaps remain in our understanding of the synergistic coordination between molecular and ecophysiological responses del...
37047467	PMC10095179	Transcriptome Dynamics Underlying Planticine®-Induced Defense Responses of Tomato (Solanum lycopersicum L.) to Biotic Stresses.	2023	International journal of molecular sciences	10.3390/ijms24076494	8	Yes	The study investigates gene expression changes in tomato plants treated with a plant growth regulator under controlled environmental conditions, focusing on stress response pathways.	This paper is relevant as it examines the effects of a specific treatment (plant growth regulator) on gene expression and biological pathways in tomatoes, which may include genes related to stress responses or immune systems that could be pertinent to the user's query about plant defense mechanisms.	Solanum lycopersicum	Solanum lycopersicum	not described	not described	whole plant	not described	not described	vegetative growth stage	4 weeks old	not described	plant growth regulator treatment ; control	not described	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon after treatment application	RNA	total RNA	not described	not described	not described	RNA-Seq ; Sequencing ; qRT-PCR	Illumina HiSeq 2500	next-generation sequencing	No	not specified	not described	not specified	3 biological replicates per condition	3	2	completely randomized	2	untreated control	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	The induction of natural defense mechanisms in plants is considered to be one of the most important strategies used in integrated pest management (IPM). Plant immune inducers could reduce the use of c...
31293434	PMC6599157	Transcriptome and Metabolome Reprogramming in Tomato Plants by Trichoderma harzianum strain T22 Primes and Enhances Defense Responses Against Aphids.	2019	Frontiers in physiology	10.3389/fphys.2019.00745	7	Yes	This paper investigates how Trichoderma harzianum strain T22 affects tomato plants' defense mechanisms against aphids, showing increased resistance and altered transcriptome and metabolome profiles.	The paper focuses on the interaction between Trichoderma harzianum and tomato plants (Solanum lycopersicum), which is relevant to the user query. However, it does not specifically mention SlWRKY52 or Solyc03g007380.	Solanum lycopersicum ; Macrosiphum euphorbiae ; Trichoderma harzianum	Solanum lycopersicum	Dwarf San Marzano cultivar	not described	leaf	not described	not described	not described	not described	not described	Trichoderma harzianum T22 treatment ; aphid infestation	not described	not described	not described	soil mixture	collected at dark phase	RNA ; Metabolites	total RNA	not described	not described	metabolites	RNA-Seq ; qRT-PCR ; untargeted semi-polar metabolome analysis	not described	next-generation sequencing; mass spectrometry	No	not specified	not specified	not specified	3 biological replicates	3	not described	factorial design	2	untreated control	not described	RNA integrity number > 8	not mentioned	defense response	gene expression levels; metabolite accumulation	not described	log2FC > 1.5, p < 0.05	quantile normalization	t-test; ANOVA	not mentioned	Beneficial fungi in the genus Trichoderma are among the most widespread biocontrol agents of plant pathogens. Their role in triggering plant defenses against pathogens has been intensely investigated,...
38559468	PMC10980716	SlWRKY80-mediated jasmonic acid pathway positively regulates tomato resistance to saline-alkali stress by enhancing spermidine content and stabilizing Na+/K+ homeostasis.	2024	Horticulture research	10.1093/hr/uhae028	5	Yes	The study investigates how exogenous methyl jasmonate (MeJA) enhances tomato resistance to saline-alkali stress by regulating SlWRKY80, which in turn positively regulates spermidine synthesis and Na+/K+ homeostasis.	The paper focuses on the role of MeJA and SlWRKY80 in enhancing tomato's resilience to saline-alkali stress. However, it does not specifically mention SlWRKY52 or Solyc03g007380 as targeted genes, making its relevance limited.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type; transgenic (overexpressing and knockout lines of SlWRKY80)	stem ; root	not described	not described	seedling	not described	not described	saline-alkali stress ; exogenous MeJA application	300 mM saline-alkali treatment	not described	not described	soil mixture	collected at different time points after stress and MeJA application	RNA ; Protein	total RNA	not described	total protein	metabolites; hormones (jasmonic acid, methyl jasmonate)	qRT-PCR ; RNA-Seq	not specified in detail	next-generation sequencing; fluorescence detection	Yes	6	every 24 hours	7 days	3 biological replicates	3	not described	completely randomized	4	untreated control; wild-type	0-22.5 μmol/l MeJA	RNA integrity number > 8	not described	stress response, jasmonic acid pathway	gene expression levels; enzyme activity (SOD, POD); metabolite content (spermidine)	not applicable	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	not mentioned	Saline-alkali is an important abiotic stressor influencing tomato production. Exogenous methyl jasmonate (MeJA) is well known to increase tomato resistance to a variety of stresses, although its exact...
39779650	PMC11711121	CRISPR-mediated mutation of cytokinin signaling genes (SlHP2 and SlHP3) in tomato: Morphological, physiological, and molecular characterization.	2025	The plant genome	10.1002/tpg2.20542	5	Yes	This study used CRISPR/Cas9 to generate mutations in SlHP2 and SlHP3 genes in tomato plants, examining their response to drought stress. The mutants showed enhanced water retention, reduced stomatal density, improved root growth, and altered expression of cytokinin signaling regulators.	The paper focuses on CRISPR/Cas9-mediated mutations in cytokinin signaling genes (SlHP2 and SlHP3) in tomato plants but does not mention the specific gene SlWRKY52 or Solyc03g007380 from the user query.	Solanum lycopersicum	Solanum lycopersicum	not described	CRISPR-edited	root ; leaf	cotyledon explants	not described	seedling stage	8-10 days old cotyledons	not described	PEG-induced stress ; drought stress	polyethylene glycol (PEG)-induced stress	not described	not described	soil mixture	water not available for PEG-induced stress experiments	RNA ; DNA	total RNA	genomic DNA	not described	metabolites	CRISPR/Cas9 ; PCR ; Sequencing ; qRT-PCR	not described	next-generation sequencing; qRT-PCR	No	not specified	not specified	not specified	3 biological replicates	3	not described	completely randomized	2	wild-type control	not described	RNA integrity number > 8	not mentioned	stress response; cytokinin signaling pathway	gene expression levels; phenotypic traits	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test	not mentioned	Synergistic and antagonistic relationships between cytokinins and other plant growth regulators are important in response to changing environmental conditions. Our study aimed to determine the functio...
31191610	PMC6546733	Comparative Genomic Analysis Reveals Extensive Genetic Variations of WRKYs in Solanaceae and Functional Variations of CaWRKYs in Pepper.	2019	Frontiers in genetics	10.3389/fgene.2019.00492	8	Yes	The paper focuses on the classification and analysis of WRKY transcription factors in Solanaceae plants, specifically examining their role in stress response pathways.	This paper is relevant to the user query as it discusses WRKY transcription factors which are involved in plant stress responses. Although not directly focusing on a specific gene mentioned in the query, it provides valuable information about WRKY genes and their functions in Solanaceae plants.	Solanaceae plants	not described	not described	not described	not described	not described	not described	not described	not described	not described	stress response	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	bioinformatics analysis ; sequence alignment	not described	not described	No	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	stress response	WRKY transcription factors	not described	not described	not described	not described	not mentioned	As a conserved protein family, WRKY has been shown to be involved in multiple biological processes in plants. However, the mechanism of functional diversity for WRKYs in pepper has not been well eluci...
31240102	PMC6570646	CRISPR technology is revolutionizing the improvement of tomato and other fruit crops.	2019	Horticulture research	10.1038/s41438-019-0159-x	7	Yes	The paper discusses various applications of CRISPR-Cas9 technology in crop improvement, focusing on genome editing to enhance traits such as disease resistance and stress tolerance.	This paper is relevant because it covers the use of CRISPR-Cas9 for improving plant traits which includes enhancing stress tolerance and disease resistance. The user query mentions CRISPR-Cas9 applications in crops, making this a suitable reference.	various crop plants	not described	not described	CRISPR-edited	not described	not described	not described	not described	not described	not described	CRISPR-Cas9 genome editing ; enhancing stress tolerance and disease resistance	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	CRISPR-Cas9 genome editing ; gene knockout and modification	not described	not described	No	not specified	not described	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	CRISPR-Cas9 genome editing pathway	gene expression levels; phenotypic traits	not described	not described	not described	not described	not mentioned	Fruits are major sources of essential nutrients and serve as staple foods in some areas of the world. The increasing human population and changes in climate experienced worldwide make it urgent to the...
31430902	PMC6720679	Modern Trends in Plant Genome Editing: An Inclusive Review of the CRISPR/Cas9 Toolbox.	2019	International journal of molecular sciences	10.3390/ijms20164045	7	Yes	The paper discusses various genome editing techniques in plants, focusing on CRISPR-Cas9 and its applications for targeted gene modification. It covers aspects like precision breeding, trait improvement, and regulatory challenges.	This paper is relevant to the user query as it extensively covers CRISPR-Cas9 technology which is a key genome editing tool mentioned in the query.	plants	not described	not described	not described	not described	not described	not described	not described	not described	not described	genome editing ; CRISPR-Cas9	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	Bioinformatics ; Microscopy ; PCR ; Phenotyping ; Sequencing ; not described	not described	not described	No	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not mentioned	Increasing agricultural productivity via modern breeding strategies is of prime interest to attain global food security. An array of biotic and abiotic stressors affect productivity as well as the qua...
35157163	PMC8844316	Identification and characterization of genome-wide resistance gene analogs (RGAs) of durian (Durio zibethinus L.).	2022	Journal, genetic engineering & biotechnology	10.1186/s43141-022-00313-8	3	No	The paper focuses on identifying and characterizing immune-related genes in the durian fruit, specifically using RNA-Seq to analyze gene expression patterns associated with defense mechanisms.	This paper is not directly relevant to the user query as it does not focus on the specific gene SLAF127459 or its function in stress response. The study primarily deals with immune-related genes in durian fruit, which is tangential to the query's interest.	Durio zibethinus	Durio zibethinus	not described	not described	not described	not described	not described	not described	not described	not described	RNA-Seq analysis	not described	not described	not described	not described	not described	RNA	total RNA	not described	not described	not described	Bioinformatics ; RNA-Seq ; Sequencing ; qRT-PCR	Illumina HiSeq 2500	next-generation sequencing	No	not described	not described	not described	3 biological replicates	3	not described	not described	not described	not described	not described	RNA integrity number > 7.5	not mentioned	immune response	gene expression levels	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Durian (Durio zibethinus L.) is a tropical fruit crop which is popular in Southeast Asia but recently gaining popularity in other parts of the world. In this study, we analyzed the resistance gene ana...
