pmid	title	year	journal	publication_type	authors	doi	pmcid	url	abstract	fetched_at
41414049	Mediterranean Tomato Landraces Exhibit Genotype-Specific Transcriptomic Responses to Water Stress.	2025	Physiologia plantarum	Journal Article	Juan-Cabot A; Carrillo L; Fullana-Pericàs M	10.1111/ppl.70696	PMC12715300	https://www.ncbi.nlm.nih.gov/pubmed/41414049	Drought stress is a critical limitation to crop production, particularly in Mediterranean climates. The molecular response of drought adaptation in crops is variable and coordinated in leaves and roots. To understand the molecular basis of drought tolerance in tomato, the transcriptomic responses of two drought-tolerant Mediterranean landraces ('de Ramellet' from Spain and 'Lucariello' from Italy) were compared with two commercial varieties ('Moneymaker' and 'Ailsa Craig'). Plants were grown under well-watered and water stress conditions, performing RNA sequencing in leaf and root tissues. Differential expression analysis denoted that the transcriptomic response to water stress was mostly genotype-dependent and tissue-dependent. Only 0.9% of leaf DEGs and 5.1% of root DEGs were shared across all genotypes, including pathways like response to salt, response to heat, and photosynthesis. Commercial genotypes regulated a wide array of metabolic pathways, including plant-defense, indicative of a response to a general metabolic impairment. In contrast, landraces exhibited a more targeted transcriptional response, specifically triggering drought- and stress-related pathways. The 'de Ramellet' landrace exhibited a highly divergent leaf response, characterized by increased expression of osmotic stress-related genes and heat stress pathways, while 'Lucariello' regulated salt transmembrane transporters and antioxidant defenses, particularly in roots. These findings highlight the distinct molecular strategies employed by landraces and commercial cultivars under water stress, emphasizing the potential of Mediterranean landraces as genetic resources for improving drought resilience in tomato breeding programs.	2026-03-04T12:33:39.722610
41220776	Deciphering drought-response in wheat (Triticum aestivum): physiological, biochemical, and transcriptomic insights into tolerant and sensitive cultivars under dehydration shock.	2025	Frontiers in plant science	Journal Article	Cevher-Keskin B; Yıldızhan Y; Sekmen AH	10.3389/fpls.2025.1649378	PMC12598786	https://www.ncbi.nlm.nih.gov/pubmed/41220776	Wheat (Triticum aestivum L.) is a major staple crop, but its productivity is severely threatened by drought, especially during reproductive stages when yield and quality are most vulnerable. Climate change and water overexploitation intensify this challenge, with yield losses of up to 80% in arid regions and projected global production declines of ~29%. Drought tolerance is a complex trait involving physiological, biochemical, and molecular mechanisms, including stomatal regulation, osmolyte accumulation, and activation of stress-responsive genes. Advances in transcriptomics, functional genomics, and genome editing have identified key regulators (DREB, ERF, SnRK2), antioxidant enzymes, and ABA signalling components as targets for improving drought resilience. Developing drought-tolerant wheat varieties is therefore a priority for food security.	2026-03-04T12:33:40.511343
30308016	Identification of water use efficiency related genes in 'Garnem' almond-peach rootstock using time-course transcriptome analysis.	2018	PloS one	Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't	Bielsa B; Hewitt S; Reyes-Chin-Wo S	10.1371/journal.pone.0205493	PMC6181374	https://www.ncbi.nlm.nih.gov/pubmed/30308016	Drought is one of the main abiotic stresses with far-reaching ecological and socioeconomic impacts, especially in perennial food crops such as Prunus. There is an urgent need to identify drought resilient rootstocks that can adapt to changes in water availability. In this study, we tested the hypothesis that PEG-induced water limitation stress will simulate drought conditions and drought-related genes, including transcription factors (TFs), will be differentially expressed in response to this stress. 'Garnem' genotype, an almond × peach hybrid [P. amygdalus Batsch, syn P. dulcis (Mill.) x P. persica (L.) Batsch] was exposed to PEG-6000 solution, and a time-course transcriptome analysis of drought-stressed roots was performed at 0, 2 and 24 h time points post-stress. Transcriptome analysis resulted in the identification of 12,693 unique differentially expressed contigs (DECs) at the 2 h time point, and 7,705 unique DECs at the 24 h time point after initiation of the drought treatment. Interestingly, three drought-induced genes, directly related to water use efficiency (WUE) namely, ERF023 TF; LRR receptor-like serine/threonine-kinase ERECTA; and NF-YB3 TF, were found induced under stress. The RNAseq results were validated with quantitative RT-PCR analysis of eighteen randomly selected differentially expressed contigs (DECs). Pathway analysis in the present study provides valuable information regarding metabolic events that occur during stress-induced signalling in 'Garnem' roots. This information is expected to be useful in understanding the potential mechanisms underlying drought stress responses and drought adaptation strategies in Prunus species.	2026-03-04T12:33:41.313279
35406848	Expression Profile of Sorghum Genes and Cis-Regulatory Elements under Salt-Stress Conditions.	2022	Plants (Basel, Switzerland)	Journal Article	Lee S; Jeon D; Choi S	10.3390/plants11070869	PMC9003456	https://www.ncbi.nlm.nih.gov/pubmed/35406848	Salinity stress is one of the most important abiotic stresses that causes great losses in crop production worldwide. Identifying the molecular mechanisms of salt resistance in sorghum will help develop salt-tolerant crops with high yields. Sorghum (Sorghum bicolor (L.) Moench) is one of the world's four major grains and is known as a plant with excellent adaptability to salt stress. Among the various genotypes of sorghum, a Korean cultivar Nampungchal is also highly tolerant to salt. However, little is known about how Nampungchal responds to salt stress. In this study, we measured various physiological parameters, including Na+ and K+ contents, in leaves grown under saline conditions and investigated the expression patterns of differentially expressed genes (DEGs) using QuantSeq analysis. These DEG analyses revealed that genes up-regulated in a 150 mM NaCl treatment have various functions related to abiotic stresses, such as ERF and DREB. In addition, transcription factors such as ABA, WRKY, MYB, and bZip bind to the CREs region of sorghum and are involved in the regulation of various abiotic stress-responsive transcriptions, including salt stress. These findings may deepen our understanding of the mechanisms of salt tolerance in sorghum and other crops.	2026-03-04T12:33:42.037559
40883303	Drought recovery in plants triggers a cell-state-specific immune activation.	2025	Nature communications	Journal Article	Illouz-Eliaz N; Yu J; Swift J	10.1038/s41467-025-63467-2	PMC12397292	https://www.ncbi.nlm.nih.gov/pubmed/40883303	All organisms experience stress as an inevitable part of life, from single-celled microorganisms to complex multicellular beings. The ability to recover from stress is a fundamental trait that determines the overall resilience of an organism, yet stress recovery is understudied. To investigate how plants recover from drought, we examine a fine-scale time series of RNA sequencing starting 15 min after rehydration following moderate drought. We reveal that drought recovery is a rapid process involving the activation of thousands of recovery-specific genes. To capture these rapid recovery responses in different Arabidopsis thaliana (A. thaliana) leaf cell types, we perform a single-nucleus transcriptome analysis at the onset of drought recovery, identifying a cell type-specific transcriptional state developing independently across cell types. To further validate the cell-type specific transcriptional changes observed during drought recovery, we employ spatial transcriptomics using multiplexed error-robust fluorescence in situ hybridization (MERFISH), revealing anatomical localization of recovery-induced gene expression programs across Arabidopsis leaf tissues. Furthermore, we reveal a recovery-induced activation of the immune system that occurs autonomously, and which enhances pathogen resistance in vivo in A. thaliana, wild tomato (Solanum pennellii) and domesticated tomato (Solanum lycopersicum cv. M82). Since rehydration promotes microbial proliferation and thereby increases the risk of infection, the activation of drought recovery-induced immunity may be crucial for plant survival in natural environments. These findings indicate that drought recovery coincides with a preventive defense response, unraveling the complex regulatory mechanisms that facilitate stress recovery in different plant cell types.	2026-03-04T12:33:42.759427
39204702	First Peek into the Transcriptomic Response in Heat-Stressed Tomato Inoculated with Septoglomus constrictum.	2024	Plants (Basel, Switzerland)	Journal Article	Szentpéteri V; Virág E; Mayer Z	10.3390/plants13162266	PMC11359853	https://www.ncbi.nlm.nih.gov/pubmed/39204702	In this study, we report the interaction between an arbuscular mycorrhizal fungus, Septoglomus constrictum, and tomato plants under heat stress. For the first time, this interaction was studied by Illumina RNA-seq, followed by a comprehensive bioinformatic analysis that investigated root and leaf tissue samples. The genome-wide transcriptional profiling displayed fewer transcriptomic changes in the root under heat-stress conditions caused by S. constrictum. The top 50 DEGs suggested significant changes in the expression of genes encoding heat-shock proteins, transporter proteins, and genes of phytohormone metabolism involving jasmonic acid signalling. S. constrictum induced the upregulation of genes associated with pathways such as 'drought-responsive' and the 'development of root hair' in the root, as well as 'glycolipid desaturation', 'intracellular auxin transport', and 'ethylene biosynthesis' in the leaf. The pathways 'biotin biosynthesis' and 'threonine degradation' were found in both investigated tissue types. Expression analysis of transcription factors showed 2 and 11 upregulated transcription factors in heat-stressed root and leaf tissues, respectively. However, we did not find shared transcription factors. Heat-stressed arbuscular mycorrhizal plants suffered less oxidative stress when exposed to high temperatures. Colorimetric tests demonstrated less accumulation of H2O2 and MDA in heat-stressed mycorrhizal plants. This phenomenon was accompanied by the higher expression of six stress genes that encode peroxidases, glutathione S-transferase and ubiquitin carboxyl-terminal hydrolase in roots and leaves. Our findings provide a new perspective on elucidating the functional metabolic processes of tomato plants under mycorrhizal-heat stressed conditions.	2026-03-04T12:33:43.564759
25923822	Transcriptomic Analysis of Drought Stress Responses in Ammopiptanthus mongolicus Leaves Using the RNA-Seq Technique.	2015	PloS one	Journal Article; Research Support, Non-U.S. Gov't	Gao F; Wang J; Wei S	10.1371/journal.pone.0124382	PMC4414462	https://www.ncbi.nlm.nih.gov/pubmed/25923822	Ammopiptanthus mongolicus (Maxim. Ex Kom.) Cheng f., a relic tree of the Tertiary period, plays a critical role in maintaining desert ecosystems in the Mid-Asia region. Genome-scale gene expression profiling studies will provide deep insight into the molecular mechanism underlying the drought tolerance of A. mongolicus. In the present study, we investigated the transcriptional changes induced by drought treatment in A. mongolicus leaves by establishing a comprehensive transcriptome database and then performing a Digital Gene Expression (DGE) analysis using Solexa sequencing technology. A comprehensive transcriptome database was obtained by assembling the Illumina unigenes with expressed sequence tags (EST) available publicly, and other high throughput sequencing data. To analyze the dynamic and complicated gene regulation network during PEG6000-induced drought treatment in leaves of A. mongolicus, a time-course gene expression analysis was performed using tag-based DGE technology, which identified 437, 1,247 and 802 differentially expressed transcripts in 1, 24 and 72 h drought stress libraries, respectively. GO and KEGG analyses revealed hormone signal transduction and phenylpropanoid biosynthesis were enriched during drought treatment. A batch of drought-regulated transcription factor transcripts were identified, including the subsets of HD-ZIP, bZIP, WRKY, AP2/ERF and bHLH family members, which may play roles in drought response in A. mongolicus. The sequence collection assembled in the present study represents one of the most comprehensive transcriptome databases for A. mongolicus currently. The differentially expressed transcripts identified in our study provide a good start for identifying the key genes in stress response and performing functional analysis to reveal their roles in stress adaptation in planta.	2026-03-04T12:33:44.268938
35186660	"Drought tolerance improvement in Solanum lycopersicum: an insight into ""OMICS"" approaches and genome editing."	2022	3 Biotech	Journal Article; Review	Taheri S; Gantait S; Azizi P	10.1007/s13205-022-03132-3	PMC8825918	https://www.ncbi.nlm.nih.gov/pubmed/35186660	"Solanum lycopersicum (tomato) is an internationally acclaimed vegetable crop that is grown worldwide. However, drought stress is one of the most critical challenges for tomato production, and it is a crucial task for agricultural biotechnology to produce drought-resistant cultivars. Although breeders have done a lot of work on the tomato to boost quality and quantity of production and enhance resistance to biotic and abiotic stresses, conventional tomato breeding approaches have been limited to improving drought tolerance because of the intricacy of drought traits. Many efforts have been made to better understand the mechanisms involved in adaptation and tolerance to drought stress in tomatoes throughout the years. ""Omics"" techniques, such as genomics, transcriptomics, proteomics, and metabolomics in combination with modern sequencing technologies, have tremendously aided the discovery of drought-responsive genes. In addition, the availability of biotechnological tools, such as plant transformation and the recently developed genome editing system for tomatoes, has opened up wider opportunities for validating the function of drought-responsive genes and the generation of drought-tolerant varieties. This review highlighted the recent progresses for tomatoes improvement against drought stress through ""omics"" and ""multi-omics"" technologies including genetic engineering. We have also discussed the roles of non-coding RNAs and genome editing techniques for drought stress tolerance improvement in tomatoes."	2026-03-04T12:33:45.184429
32054920	Grafting alters tomato transcriptome and enhances tolerance to an airborne virus infection.	2020	Scientific reports	Journal Article; Research Support, Non-U.S. Gov't	Spanò R; Ferrara M; Montemurro C	10.1038/s41598-020-59421-5	PMC7018947	https://www.ncbi.nlm.nih.gov/pubmed/32054920	Grafting of commercial tomato varieties and hybrids on the tomato ecotype Manduria resulted in high levels of tolerance to the infection of Sw5 resistance-breaking strains of tomato spotted wilt virus and of severe cucumber mosaic virus strains supporting hypervirulent satellite RNAs that co-determine stunting and necrotic phenotypes in tomato. To decipher the basis of such tolerance, here we used a RNAseq analysis to study the transcriptome profiles of the Manduria ecotype and of the susceptible variety UC82, and of their graft combinations, exposed or not to infection of the potato virus Y recombinant strain PVYC-to. The analysis identified graft- and virus-responsive mRNAs differentially expressed in UC82 and Manduria, which led to an overall suitable level of tolerance to viral infection confirmed by the appearance of a recovery phenotype in Manduria and in all graft combinations. The transcriptome analysis suggested that graft wounding and viral infection had diverging effects on tomato transcriptome and that the Manduria ecotype was less responsive than the UC82 to both graft wounding and potyviral infection. We propose that the differential response to the two types of stress could account for the tolerance to viral infection observed in the Manduria ecotype as well as in the susceptible tomato variety UC82 self-grafted or grafted on the Manduria ecotype.	2026-03-04T12:33:45.911397
37332696	Transcriptomic analysis reveals the gene regulatory networks involved in leaf and root response to osmotic stress in tomato.	2023	Frontiers in plant science	Journal Article	Pirona R; Frugis G; Locatelli F	10.3389/fpls.2023.1155797	PMC10272567	https://www.ncbi.nlm.nih.gov/pubmed/37332696	Tomato (Solanum lycopersicum L.) is a major horticultural crop that is cultivated worldwide and is characteristic of the Mediterranean agricultural system. It represents a key component of the diet of billion people and an important source of vitamins and carotenoids. Tomato cultivation in open field often experiences drought episodes, leading to severe yield losses, since most modern cultivars are sensitive to water deficit. Water stress leads to changes in the expression of stress-responsive genes in different plant tissues, and transcriptomics can support the identification of genes and pathways regulating this response.	2026-03-04T12:33:46.754231
