pmid	title	year	journal	publication_type	authors	doi	pmcid	url	abstract	fetched_at
24884371	RNA sequencing on Solanum lycopersicum trichomes identifies transcription factors that activate terpene synthase promoters.	2014	BMC genomics	Journal Article; Research Support, Non-U.S. Gov't	Spyropoulou EA; Haring MA; Schuurink RC	10.1186/1471-2164-15-402	PMC4041997	https://www.ncbi.nlm.nih.gov/pubmed/24884371	Glandular trichomes are production and storage organs of specialized metabolites such as terpenes, which play a role in the plant's defense system. The present study aimed to shed light on the regulation of terpene biosynthesis in Solanum lycopersicum trichomes by identification of transcription factors (TFs) that control the expression of terpene synthases.	2026-03-03T14:58:04.224734
27712008	Overexpression of a tomato miR171 target gene SlGRAS24 impacts multiple agronomical traits via regulating gibberellin and auxin homeostasis.	2017	Plant biotechnology journal	Journal Article; Research Support, Non-U.S. Gov't	Huang W; Peng S; Xian Z	10.1111/pbi.12646	PMC5362688	https://www.ncbi.nlm.nih.gov/pubmed/27712008	In Arabidopsis, the miR171-GRAS module has been clarified as key player in meristem maintenance. However, the knowledge about its role in fruit crops like tomato (Solanum lycopersicum) remains scarce. We previously identified tomato SlGRAS24 as a target gene of Sly-miR171. To study the role of this probable transcription factor, we generated transgenic tomato plants underexpressing SlGRAS24, overexpressing SlGRAS24, overexpressing Sly-miR171 and expressing β-glucuronidase (GUS) under the SlGRAS24 promoter (proSlGRAS24-GUS). Plants overexpressing SlGRAS24 (SlGRAS24-OE) had pleiotropic phenotypes associated with multiple agronomical traits including plant height, flowering time, leaf architecture, lateral branch number, root length, fruit set and development. Many GA/auxin-related genes were down-regulated and altered responsiveness to exogenous IAA/NAA or GA3 application was observed in SlGRAS24-OE seedlings. Moreover, compromised fruit set and development in SlGRAS24-OE was also observed. These newly identified phenotypes for SlGRAS24 homologs in tomato were later proved to be caused by impaired pollen sacs and fewer viable pollen grains. At anthesis, the comparative transcriptome results showed altered expression of genes involved in pollen development and hormone signalling. Taken together, our data demonstrate that SlGRAS24 participates in a series of developmental processes through modulating gibberellin and auxin signalling, which sheds new light on the involvement of hormone crosstalk in tomato development.	2026-03-03T14:58:04.907694
39578554	Integrating gene expression analysis and ecophysiological responses to water deficit in leaves of tomato plants.	2024	Scientific reports	Journal Article	Bortolami G; de Werk TA; Larter M	10.1038/s41598-024-80261-0	PMC11584733	https://www.ncbi.nlm.nih.gov/pubmed/39578554	Soil water deficit (WD) significantly impacts plant survival and crop yields. Many gaps remain in our understanding of the synergistic coordination between molecular and ecophysiological responses delaying substantial drought-induced effects on plant growth. To investigate this synergism in tomato leaves, we combined molecular, ecophysiological, and anatomical methods to examine gene expression patterns and physio-anatomical characteristics during a progressing WD experiment. Four sampling points were selected for transcriptomic analysis based on the key ecophysiological responses of the tomato leaves: 4 and 5 days after WD (d-WD), corresponding to 10% and 90% decrease in leaf stomatal conductance; 8 d-WD, the leaf wilting point; and 10 d-WD, when air embolism blocks 12% of the leaf xylem water transport. At 4 d-WD, upregulated genes were mostly linked to ABA-independent responses, with larger-scale ABA-dependent responses occurring at 5 d-WD. At 8 d-WD, we observed an upregulation of heat shock transcription factors, and two days later (10 d-WD), we found a strong upregulation of oxidative stress transcription factors. Finally, we found that young leaves present a stronger dehydration tolerance than mature leaves at the same drought intensity level, presumably because young leaves upregulate genes related to increased callose deposition resulting in limiting water loss to the phloem, and related to increased cell rigidity by modifying cell wall structures. This combined dataset will serve as a framework for future studies that aim to obtain a more holistic WD plant response at the molecular, ecophysiological and anatomical level.	2026-03-03T14:58:05.715746
27991526	Putative WRKYs associated with regulation of fruit ripening revealed by detailed expression analysis of the WRKY gene family in pepper.	2016	Scientific reports	Journal Article; Research Support, Non-U.S. Gov't	Cheng Y; Ahammed GJ; Yu J	10.1038/srep39000	PMC5171846	https://www.ncbi.nlm.nih.gov/pubmed/27991526	WRKY transcription factors play important roles in plant development and stress responses. Here, global expression patterns of pepper CaWRKYs in various tissues as well as response to environmental stresses and plant hormones were systematically analyzed, with an emphasis on fruit ripening. The results showed that most CaWRKYs were expressed in at least two of the tissues tested. Group I, a subfamily of the entire CaWRKY gene family, had a higher expression level in vegetative tissues, whereas groups IIa and III showed relatively lower expression levels. Comparative analysis showed that the constitutively highly expressed WRKY genes were conserved in tomato and pepper, suggesting potential functional similarities. Among the identified 61 CaWRKYs, almost 60% were expressed during pepper fruit maturation, and the group I genes were in higher proportion during the ripening process, indicating an as-yet unknown function of group I in the fruit maturation process. Further analysis suggested that many CaWRKYs expressed during fruit ripening were also regulated by abiotic stresses or plant hormones, indicating that these CaWRKYs play roles in the stress-related signaling pathways during fruit ripening. This study provides new insights to the current research on CaWRKY and contributes to our knowledge about the global regulatory network in pepper fruit ripening.	2026-03-03T14:58:06.407743
36835470	Comparison of Tomato Transcriptomic Profiles Reveals Overlapping Patterns in Abiotic and Biotic Stress Responses.	2023	International journal of molecular sciences	Journal Article	Amoroso CG; D'Esposito D; Aiese Cigliano R	10.3390/ijms24044061	PMC9961515	https://www.ncbi.nlm.nih.gov/pubmed/36835470	Until a few years ago, many studies focused on the transcriptomic response to single stresses. However, tomato cultivations are often constrained by a wide range of biotic and abiotic stress that can occur singularly or in combination, and several genes can be involved in the defensive mechanism response. Therefore, we analyzed and compared the transcriptomic responses of resistant and susceptible genotypes to seven biotic stresses (Cladosporium fulvum, Phytophthora infestans, Pseudomonas syringae, Ralstonia solanacearum, Sclerotinia sclerotiorum, Tomato spotted wilt virus (TSWV) and Tuta absoluta) and five abiotic stresses (drought, salinity, low temperatures, and oxidative stress) to identify genes involved in response to multiple stressors. With this approach, we found genes encoding for TFs, phytohormones, or participating in signaling and cell wall metabolic processes, participating in defense against various biotic and abiotic stress. Moreover, a total of 1474 DEGs were commonly found between biotic and abiotic stress. Among these, 67 DEGs were involved in response to at least four different stresses. In particular, we found RLKs, MAPKs, Fasciclin-like arabinogalactans (FLAs), glycosyltransferases, genes involved in the auxin, ET, and JA pathways, MYBs, bZIPs, WRKYs and ERFs genes. Detected genes responsive to multiple stress might be further investigated with biotechnological approaches to effectively improve plant tolerance in the field.	2026-03-03T14:58:07.212779
41145961	Antimicrobial Peptides as Part of the Arsenal of Constitutive and Inducible Seed Defences in Tomato Seed Exudates Against Pathogens.	2025	Molecular plant pathology	Journal Article	Tarkowski ŁP; Hubert B; Marchi M	10.1111/mpp.70164	PMC12558808	https://www.ncbi.nlm.nih.gov/pubmed/41145961	Seed immune responses are an underexplored area in host-pathogen interactions, leaving seed-pathogen interactions poorly understood despite their considerable economic impact. This study examined tomato seed defences by assessing the antimicrobial activity (AA) of seed exudates during germination. Results showed genotype-dependent and constitutive defence responses from seeds showing AA in exudates. Seed priming with a panel of elicitors such as methyl jasmonate (MeJA) enhanced AA in certain genotypes, highlighting an inducible defence response. Both constitutive and inducible (elicitor-dependent) seed defences were genotype-dependent and more effective against the non-host pathogen Alternaria brassicicola (Abra43), while host pathogens seemed resistant to exudates' AA, suggesting that they developed strategies to neutralise exudates' AA. Multi-omic analyses revealed distinct hormonal and molecular pathways involved in constitutive and inducible defences. By characterising exudates and correlating genotype- and elicitor-specific AA, candidate antimicrobial compounds were identified. As proof of concept, we functionally validated the AA of a putative defensin (Solyc07g007755) whose expression was highly correlated with the observed AA of the seed exudate against Abra43, demonstrating the potential of our dataset for the development of phytosanitary strategies to protect seeds during germination.	2026-03-03T14:58:08.015987
28769960	Transcriptome Analysis of the Sm-Mediated Hypersensitive Response to Stemphylium lycopersici in Tomato.	2017	Frontiers in plant science	Journal Article	Yang H; Zhao T; Jiang J	10.3389/fpls.2017.01257	PMC5515834	https://www.ncbi.nlm.nih.gov/pubmed/28769960	Gray leaf spot disease caused by Stemphylium lycopersici is a major disease in cultivated tomato plants and threatens tomato-growing areas worldwide. Sm is a single dominant gene that confers resistance to tomato gray leaf spot disease agent. However, the underlying molecular mechanism remains unclear. Here, resistant (cv. Motelle, containing the Sm gene) and susceptible (cv. Moneymaker) plants were inoculated with virulent Stemphylium lycopersici isolate at a time point at which both cultivars showed a strong response to S. lycopersici infection. Transcriptome analyses were performed in both cultivars using RNA-seq. The number of differentially expressed genes (DEGs) was higher in Motelle than Moneymaker. Functional classification revealed that most DEGs were involved in plant-pathogen interactions, plant hormone signal transduction, regulation of autophagy, glycerophospholipid metabolism, and α-linolenic acid metabolism. Moreover, the genes that were significantly up-regulated in Sm tomatoes were involved in plant-pathogen interaction pathways. A total of 26 genes were selected for confirmation of differentially expressed levels by quantitative real-time PCR. This knowledge will yield new insights into the molecular mechanism of Sm responses to S. lycopersici infection.	2026-03-03T14:58:08.691424
31191610	Comparative Genomic Analysis Reveals Extensive Genetic Variations of WRKYs in Solanaceae and Functional Variations of CaWRKYs in Pepper.	2019	Frontiers in genetics	Journal Article	Cheng Y; Ahammed GJ; Yao Z	10.3389/fgene.2019.00492	PMC6546733	https://www.ncbi.nlm.nih.gov/pubmed/31191610	As a conserved protein family, WRKY has been shown to be involved in multiple biological processes in plants. However, the mechanism of functional diversity for WRKYs in pepper has not been well elucidated. Here, a total of 223 WRKY members from solanaceae crops including pepper, tomato and potato, were analyzed using comparative genomics. A tremendous genetic variation among WRKY members of different solanaceous plants or groups was demonstrated by the comparison of some WRKY features, including number/size, group constitution, gene structure, and domain composition. The phylogenetic analysis showed that except for the known WRKY groups (I, IIa/b/c/d/e and III), two extra WRKY subgroups specifically existed in solanaceous plants, which were named group IIf and group IIg in this study, and their genetic variations were also revealed by the characteristics of some group IIf and IIg WRKYs. Except for the extensive genetic variations, certain degrees of conservatism for solanaceae WRKYs were also revealed. Moreover, the variant zinc-finger structure (CX4,7CX22-24HXC) in group III of solanaceae WRKYs was identified. Expression profiles of CaWRKY genes suggested their potential roles in pepper development and stress responses, and demonstrated a functional division pattern for pepper CaWRKYs. Furthermore, functional analysis using virus induced gene silencing (VIGS) revealed critical roles of two CaWRKYs (CaWRKY45 and CaWRKY58) in plant responses to disease and drought, respectively. This study provides a solid foundation for further dissection of the evolutionary and functional diversity of solanaceae WRKYs in crop plants.	2026-03-03T14:58:09.403572
27092148	Exploiting Genomics Resources to Identify Candidate Genes Underlying Antioxidants Content in Tomato Fruit.	2016	Frontiers in plant science	Journal Article	Calafiore R; Ruggieri V; Raiola A	10.3389/fpls.2016.00397	PMC4824784	https://www.ncbi.nlm.nih.gov/pubmed/27092148	The tomato is a model species for fleshy fruit development and ripening, as well as for genomics studies of others Solanaceae. Many genetic and genomics resources, including databases for sequencing, transcriptomics and metabolomics data, have been developed and are today available. The purpose of the present work was to uncover new genes and/or alleles that determine ascorbic acid and carotenoids accumulation, by exploiting one Solanum pennellii introgression lines (IL7-3) harboring quantitative trait loci (QTL) that increase the content of these metabolites in the fruit. The higher ascorbic acid and carotenoids content in IL7-3 was confirmed at three fruit developmental stages. The tomato genome reference sequence and the recently released S. pennellii genome sequence were investigated to identify candidate genes (CGs) that might control ascorbic acid and carotenoids accumulation. First of all, a refinement of the wild region borders in the IL7-3 was achieved by analyzing CAPS markers designed in our laboratory. Afterward, six CGs associated to ascorbic acid and one with carotenoids metabolism were identified exploring the annotation and the Gene Ontology terms of genes included in the region. Variants between the sequence of the wild and the cultivated alleles of these genes were investigated for their functional relevance and their potential effects on the protein sequences were predicted. Transcriptional levels of CGs in the introgression region were extracted from RNA-Seq data available for the entire S. pennellii introgression lines collection and verified by Real-Time qPCR. Finally, seven IL7-3 sub-lines were genotyped using 28 species-specific markers and then were evaluated for metabolites content. These analyses evidenced a significant decrease in transcript abundance for one 9-cis-epoxycarotenoid dioxygenase and one L-ascorbate oxidase homolog, whose role in the accumulation of carotenoids and ascorbic acid is discussed. Comprehensively, the reported results demonstrated that combining genetic and genomic resources in tomato, including bioinformatics tools, was a successful strategy to dissect one QTL for the increase of ascorbic acid and carotenoids in tomato fruit.	2026-03-03T14:58:10.120936
38371631	MicroRNA396 negatively regulates shoot regeneration in tomato.	2024	Horticulture research	Journal Article	Park SJ; Park JS; Yang JH	10.1093/hr/uhad291	PMC10873581	https://www.ncbi.nlm.nih.gov/pubmed/38371631	Numerous studies have been dedicated to genetically engineering crops to enhance their yield and quality. One of the key requirements for generating genetically modified plants is the reprogramming of cell fate. However, the efficiency of shoot regeneration during this process is highly dependent on genotypes, and the underlying molecular mechanisms remain poorly understood. Here, we identified microRNA396 (miR396) as a negative regulator of shoot regeneration in tomato. By selecting two genotypes with contrasting shoot regeneration efficiencies and analyzing their transcriptome profiles, we found that miR396 and its target transcripts, which encode GROWTH-REGULATING FACTORs (GRFs), exhibit differential abundance between high- and low-efficiency genotypes. Suppression of miR396 functions significantly improved shoot regeneration rates along with increased expression of GRFs in transformed T0 explants, suggesting that miR396 is a key molecule involved in the determination of regeneration efficiency. Notably, we also showed that co-expression of a miR396 suppressor with the gene-editing tool can be employed to generate gene-edited plants in the genotype with a low capacity for shoot regeneration. Our findings show the critical role of miR396 as a molecular barrier to shoot regeneration in tomato and suggest that regeneration efficiency can be improved by blocking this single microRNA.	2026-03-03T14:58:10.813931
