pmid	title	year	journal	publication_type	authors	doi	pmcid	url	abstract	fetched_at
37342132	Dynamic interplay of WRKY, GRAS, and ERF transcription factor families in tomato-endophytic fungal symbiosis: insights from transcriptome and genome-wide analysis.	2023	Frontiers in plant science	Journal Article	Khan I; Lubna; Asaf S	10.3389/fpls.2023.1181227	PMC10277700	https://www.ncbi.nlm.nih.gov/pubmed/37342132	Plant-microbe interactions play a crucial role in shaping plant growth and development, as well as in mediating plant responses to biotic and abiotic stresses. In this study, we used RNA-seq data to examine the expression profiles of SlWRKY, SlGRAS, and SlERF genes during the symbiotic association of Curvularia lunata SL1 with tomato (Solanum lycopersicum) plants. We also conducted functional annotation analysis by comparative genomics studies of their paralogs and orthologs genes, as well as other approaches, such as gene analysis and protein interaction networks, to identify and characterize the regulatory roles of these TFs in the development of the symbiotic association. We found that more than half of the investigated SlWRKY genes exhibited significant upregulation during symbiotic association, including SlWRKY38, SlWRKY46, SlWRKY19, and SlWRKY51. Several SlGRAS and SlERF genes were upregulated, such as SlGLD2, SlGLD1, SlERF.C.5, ERF16, and SlERF.B12. Conversely, a smaller proportion of SlWRKY, SlGRAS, and SlERF genes were significantly downregulated during symbiotic association. Furthermore, we investigated the possible roles of SlWRKY, SlGRAS, and SlERF genes in hormonal regulation during plant-microbe interactions. We identified several upregulated candidate transcripts likely to be involved in plant hormone signaling pathways. Our findings are consistent with previous studies on these genes, providing further evidence of their involvement in hormonal regulation during plant-microbe interactions. To validate the RNA-seq data accuracy, we performed RT-qPCR analyses of selected SlWRKY, SlGRAS, and SlERF genes, which showed similar expression patterns to those observed in the RNA-seq data. These results confirmed the accuracy of our RNA-seq data and provided additional support for the differential expression of these genes during plant-microbe interactions. Taken together, our study provides new insights into the differential expression profiles of SlWRKY, SlGRAS, and SlERF genes during symbiotic association with C. lunata, as well as their potential roles in hormonal regulation during plant-microbe interactions. These findings could be useful for guiding future research on the ways in which plants and microbes interact, and may ultimately lead to the creation of better approaches for promoting plant growth under stressful conditions.	2026-03-03T14:24:53.070829
26734053	Comparative Transcriptome Analysis of Resistant and Susceptible Tomato Lines in Response to Infection by Xanthomonas perforans Race T3.	2015	Frontiers in plant science	Journal Article	Du H; Wang Y; Yang J	10.3389/fpls.2015.01173	PMC4689867	https://www.ncbi.nlm.nih.gov/pubmed/26734053	Bacterial spot, incited by several Xanthomonas sp., is a serious disease in tomato (Solanum lycopersicum L.). Although genetics of resistance has been widely investigated, the interactions between the pathogen and tomato plants remain unclear. In this study, tanscriptomes of X. perforans race T3 infected tomato lines were compared to those of controls. An average of 7 million reads were generated with approximately 21,526 genes mapped in each sample post-inoculation at 6 h (6 HPI) and 6 days (6 DPI) using RNA-sequencing technology. Overall, the numbers of differentially expressed genes (DEGs) were higher in the resistant tomato line PI 114490 than in the susceptible line OH 88119, and the numbers of DEGs were higher at 6 DPI than at 6 HPI. Fewer genes (78 in PI 114490 and 15 in OH 88119) were up-regulated and most DEGs were down-regulated, suggesting that the inducible defense response might not be fully activated at 6 HPI. Accumulation expression levels of 326 co-up regulated genes in both tomato lines at 6 DPI might be involved in basal defense, while the specific and strongly induced genes at 6 DPI might be correlated with the resistance in PI 114490. Most DEGs were involved in plant hormone signal transduction, plant-pathogen interaction and phenylalanine metabolism, and the genes significantly up-regulated in PI 114490 at 6 DPI were associated with defense response pathways. DEGs containing NBS-LRR domain or defense-related WRKY transcription factors were also identified. The results will provide a valuable resource for understanding the interactions between X. perforans and tomato plants.	2026-03-03T14:24:53.742458
36760632	Genome-wide annotation and expression analysis of WRKY and bHLH transcriptional factor families reveal their involvement under cadmium stress in tomato (Solanum lycopersicum L.).	2023	Frontiers in plant science	Journal Article	Khan I; Asaf S; Jan R	10.3389/fpls.2023.1100895	PMC9905835	https://www.ncbi.nlm.nih.gov/pubmed/36760632	The WRKY and bHLH transcription factors have been implicated in the regulation of gene expression during various physiological processes in plants, especially in plant stress responses. However, little information about the heavy metal-responsive SlWRKY and SlbHLH in tomato (Solanum lycopersicum) is available. We performed a genome-wide investigation for these two TF families in S. lycopersicum and determined their role in cadmium (Cd) stress tolerance. Furthermore, ortholog analysis with the Arabidopsis genome led to classifying WRKY and bHLH ortholog genes into nine and 11 clusters, respectively. The comparative phylogenetic analysis revealed duplication events and gene loss in Arabidopsis and S. lycopersicum, which occurred during evolution both before and after the last common ancestor of the two species. Orthologous relationships are also supported by additional evidence, such as gene structure, conserved motif compositions, and protein-protein interaction networks for the majority of genes, suggesting their similar functions. A comprehensive transcriptomics analysis revealed that both WRKY and bHLH genes were differentially expressed in response to cadmium stress as compared with control plants. A gene ontology analysis revealed that most WRKYs and bHLHs are DNA-binding essential proteins that regulate gene expression positively and negatively. Analyses of interaction networks revealed that both WRKYs and bHLHs mediate networks implicated in several stress-signaling pathways. The findings of this work may help us to comprehend the intricate transcriptional control of WRKY and bHLH genes and identify potential stress-responsive genes relevant to tomato genetic improvement. Moreover, identifying heavy metal stress-responsive WRKY and bHLH genes in S. lycopersicum will provide fundamental insights for developing new heavy metal stress-tolerant varieties of tomato crops.	2026-03-03T14:24:54.414122
30285698	Identification of key genes involved in the phenotypic alterations of res (restored cell structure by salinity) tomato mutant and its recovery induced by salt stress through transcriptomic analysis.	2018	BMC plant biology	Journal Article	Albaladejo I; Egea I; Morales B	10.1186/s12870-018-1436-9	PMC6167845	https://www.ncbi.nlm.nih.gov/pubmed/30285698	The res (restored cell structure by salinity) mutant, recently identified as the first tomato mutant accumulating jasmonate in roots under non-stressful conditions, exhibits a remarkable growth inhibition and morphological alterations in roots and leaves, which are suppressed when the mutant plants are exposed to salinity. In order to understand the molecular basis of the phenotype recovery induced by salt stress in the res mutant, we carried out a comparative transcriptomic analysis in roots and leaves of wild-type and res plants in absence of stress (control) and when the phenotypic recovery of res mutant began to be observed upon salt stress (5 days of 200 mM NaCl).	2026-03-03T14:24:55.083907
37759985	Glutathione Transferases Are Involved in the Genotype-Specific Salt-Stress Response of Tomato Plants.	2023	Antioxidants (Basel, Switzerland)	Journal Article	Horváth E; Kulman K; Tompa B	10.3390/antiox12091682	PMC10525892	https://www.ncbi.nlm.nih.gov/pubmed/37759985	Glutathione transferases (GSTs) are one of the most versatile multigenic enzyme superfamilies. In our experiments, the involvement of the genotype-specific induction of GST genes and glutathione- or redox-related genes in pathways regulating salt-stress tolerance was examined in tomato cultivars (Solanum lycopersicum Moneymaker, Mobil, and Elán F1). The growth of the Mobil plants was adversely affected during salt stress (100 mM of NaCl), which might be the result of lowered glutathione and ascorbate levels, a more positive glutathione redox potential (EGSH), and reduced glutathione reductase (GR) and GST activities. In contrast, the Moneymaker and Elán F1 cultivars were able to restore their growth and exhibited higher GR and inducible GST activities, as well as elevated, non-enzymatic antioxidant levels, indicating their enhanced salt tolerance. Furthermore, the expression patterns of GR, selected GST, and transcription factor genes differed significantly among the three cultivars, highlighting the distinct regulatory mechanisms of the tomato genotypes during salt stress. The correlations between EGSH and gene expression data revealed several robust, cultivar-specific associations, underscoring the complexity of the stress response mechanism in tomatoes. Our results support the cultivar-specific roles of distinct GST genes during the salt-stress response, which, along with WRKY3, WRKY72, DREB1, and DREB2, are important players in shaping the redox status and the development of a more efficient stress tolerance in tomatoes.	2026-03-03T14:24:55.805567
40022479	GCN5-related histone acetyltransferase HOOKLESS2 regulates fungal resistance and growth in tomato.	2025	The New phytologist	Journal Article	Jaiswal N; Liao CJ; Hewavidana AI	10.1111/nph.70025	PMC11982796	https://www.ncbi.nlm.nih.gov/pubmed/40022479	The functions of histone acetyltransferases (HATs) in the genetic control of crop traits and the underlying mechanisms are poorly understood. We studied the function of tomato HOOKLESS2 (SlHLS2), a member of the GCN5 family of HATs, through genetic, molecular and genomic approaches. Tomato hls2 mutants generated through CRISPR-cas9 gene editing show enhanced susceptibility to fungal infection, accelerated dark-induced senescence, grossly altered plant architecture, and loss of fertility accompanied by high levels of auxin accumulation. Components of the basal and induced transcriptome underlying the extensive phenotypic impact of HLS2 were uncovered. HLS2-dependent differentially expressed genes were enriched for genes implicated in photosynthesis, protein ubiquitination, oxylipin biosynthesis, autophagy, and response to biotic stimuli. In particular, induced expressions of the BTB/POZ and TAZ domain-containing protein gene (SlBT1), AUTOPHAGY-RELATED PROTEIN 11, ACYLSUGAR ACYLTRANSFERASE 3 (ASAT3), and multiple jasmonate biosynthesis genes require functional HLS2. SlHLS2 associates with the SlBT1 promoter, and histone acetylation at the chromatin of SlBT1 was reduced in the Slhls2 mutant suggesting direct regulation of SlBTB1 by HLS2. SlBTB1 is an adapter of an E3 ubiquitin-protein ligase complex (CUL3-RBX1-BTB), which mediates ubiquitination and proteasomal degradation of proteins. HLS2 is degraded after fungal inoculation, which is stabilized by inhibition of the 26S proteasome. Overall, tomato HLS2 functions in pathogen responses, plant architecture, and fertility.	2026-03-03T14:24:56.532653
36536303	The LEA gene family in tomato and its wild relatives: genome-wide identification, structural characterization, expression profiling, and role of SlLEA6 in drought stress.	2022	BMC plant biology	Journal Article	Jia C; Guo B; Wang B	10.1186/s12870-022-03953-7	PMC9762057	https://www.ncbi.nlm.nih.gov/pubmed/36536303	Late embryogenesis abundant (LEA) proteins are widely distributed in higher plants and play crucial roles in regulating plant growth and development processes and resisting abiotic stress. Cultivated tomato (Solanum lycopersicum) is an important vegetable crop worldwide; however, its growth, development, yield, and quality are currently severely constrained by abiotic stressors. In contrast, wild tomato species are more tolerant to abiotic stress and can grow normally in extreme environments. The main objective of this study was to identify, characterize, and perform gene expression analysis of LEA protein families from cultivated and wild tomato species to mine candidate genes and determine their potential role in abiotic stress tolerance in tomatoes.	2026-03-03T14:24:57.344843
29377467	WRKY1 acts as a key component improving resistance against Alternaria solani in wild tomato, Solanum arcanum Peralta.	2018	Plant biotechnology journal	Journal Article; Research Support, Non-U.S. Gov't	Shinde BA; Dholakia BB; Hussain K	10.1111/pbi.12892	PMC6041441	https://www.ncbi.nlm.nih.gov/pubmed/29377467	Early blight (EB), caused by Alternaria solani, is a major threat to global tomato production. In comparison with cultivated tomato (Solanum lycopersicum), a wild relative, S. arcanum exhibits strong resistance against EB. However, molecular cascades operating during EB resistance in wild or cultivated tomato plants are largely obscure. Here, we provide novel insight into spatio-temporal molecular events in S. arcanum against A. solani. Transcriptome and co-expression analysis presented 33-WRKYs as promising candidates of which 12 SaWRKYs displayed differential expression patterns in resistant and susceptible accessions during EB disease progression. Among these, SaWRKY1 exhibited induced expression with significant modulation in xyloglucan endotrans hydrolase 5 (XTH5) and MYB2 expressions that correlated with the disease phenotypes. Electro-mobility shift assay confirmed physical interaction of recombinant SaWRKY1 to SaXTH5 and SaMYB2 promoters. Comparative WRKY1 promoter analysis between resistant and susceptible plants revealed the presence of crucial motifs for defence mechanism exclusively in resistant accession. Additionally, many defence-related genes displayed significant expression variations in both the accessions. Further, WRKY1 overexpressing transgenic plants exhibited higher levels of EB resistance while RNAi silencing lines had increased susceptibility to A. solani with altered expression of XTH5 and MYB2. Overall, these findings demonstrate the positive influence of WRKY1 in improving EB resistance in wild tomato and this could be further utilized as a potential target through genetic engineering to augment protection against A. solani in crop plants.	2026-03-03T14:24:58.013008
30532198	Comparative transcriptome analysis provides insights into dwarfism in cherry tomato (Solanum lycopersicum var. cerasiforme).	2018	PloS one	Comparative Study; Journal Article; Research Support, Non-U.S. Gov't	Rahim MA; Jung HJ; Afrin KS	10.1371/journal.pone.0208770	PMC6286132	https://www.ncbi.nlm.nih.gov/pubmed/30532198	Tomato, which can be eaten as a vegetable or fruit, is one of the most popular and nutritionally important crops around the world. Although most plants of the cherry tomato cultivar 'Minichal' have a normal phenotype, some plants have a stunted phenotype with reduced plant height, leaf size, and fruit size, as well as altered leaf and fruit shape. To investigate the molecular mechanisms underlying these differences, we generated RNA-seq libraries from pooled leaf samples of 10 normal (N) and 10 stunted (S) plants. Using the Illumina sequencing platform, we obtained a total of 115.45 million high-quality clean reads assembled into 35,216 genes and 35,216 transcripts. A total of 661 genes were differentially expressed between N and S plants. Of these, 420 differentially expressed genes (DEGs) were up-regulated, and 221 DEGs were down-regulated. The RNA-seq data were validated using quantitative reverse-transcription PCR. Enrichment analysis of DEGs using the Kyoto Encyclopedia of Genes and Genomes (KEGG) showed that the enriched pathways were involved in steroid biosynthesis, homologous recombination, and mismatch repair. Among these, three genes related to steroid biosynthesis, including 3BETAHSD/D2, DIM and DWF5 were down-regulated in S compared to N. Of these, DIM and DWF5 are known to be involved in brassinosteroid biosynthesis. Our results thus provide a useful insight into dwarfism in cherry tomato, and offer a platform for evaluating related species.	2026-03-03T14:24:59.151050
34733259	Inter-Genera Colonization of Ocimum tenuiflorum Endophytes in Tomato and Their Complementary Effects on Na+/K+ Balance, Oxidative Stress Regulation, and Root Architecture Under Elevated Soil Salinity.	2021	Frontiers in microbiology	Journal Article	Sahu PK; Singh S; Singh UB	10.3389/fmicb.2021.744733	PMC8558678	https://www.ncbi.nlm.nih.gov/pubmed/34733259	Endophytic bacilli of ethano-botanical plant Ocimum tenuiflorum were screened for salt stress-alleviating traits in tomato. Four promising O. tenuiflorum endophytes (Bacillus safensis BTL5, Bacillus haynesii GTR8, Bacillus paralicheniformis GTR11, and Bacillus altitudinis GTS16) were used in this study. Confocal scanning laser microscopic studies revealed the inter-genera colonization of O. tenuiflorum endophytes in tomato plants, giving insights for widening the applicability of potential endophytes to other crops. Furthermore, in a pot trial under 150 mM NaCl concentration, the inoculated endophytes contributed in reducing salt toxicity and improving recovery from salt-induced oxidative stress by different mechanisms. Reduction in reactive oxygen species (ROS) (sub-cellular H2O2 and superoxide) accumulation was observed besides lowering programmed cell death and increasing chlorophyll content. Endophyte inoculation supplemented the plant antioxidant enzyme system via the modulation of enzymatic antioxidants, viz., peroxidase, ascorbate peroxidase, superoxide dismutase, and catalase, apart from increasing proline and total phenolics. Antioxidants like proline have dual roles of antioxidants and osmoregulation, which might also have contributed to improved water relation under elevated salinity. Root architecture, viz., root length, projection area, surface area, average diameter, tips, forks, crossings, and the number of links, was improved upon inoculation, indicating healthy root growth and enhanced nutrient flow and water homeostasis. Regulation of Na+/K+ balance and water homeostasis in the plants were also evident from the modulation in the expression of abiotic stress-responsive genes, viz., LKT1, NHX1, SOS1, LePIP2, SlERF16, and SlWRKY39. Shoot tissues staining with light-excitable Na+ indicator Sodium GreenTM Tetra (tetramethylammonium) salt showed low sodium transport and accumulation in endophyte-inoculated plants. All four endophytes exhibited different mechanisms for stress alleviation and indicated complementary effects on plant growth. Furthermore, this could be harnessed in the form of a consortium for salt stress alleviation. The present study established inter-genera colonization of O. tenuiflorum endophytes in tomato and revealed its potential in maintaining Na+/K+ balance, reducing ROS, and improving root architecture under elevated salinity.	2026-03-03T14:24:59.962296
